Feature,Mutual_Information,Correlation,Variance,Importance,Average_Score
Contract_Month-to-month,1.0,1.0,0.9994694211527532,0.36308173083463674,0.8406377879968474
InternetService_Fiber optic,0.5926064396986566,0.8350479816452687,0.9883719884826195,0.22590041376371772,0.6604817058975656
MonthlyCh_TotalCh_Ratio,0.6270487371812055,0.7970944208669838,0.1419648547197973,0.9800615096954227,0.6365423806158523
PaymentMethod_Electronic check,0.5269559058173124,0.7586478350785849,0.8714903473279685,0.17809975549933882,0.5837984609308011
Contract_Two year,0.6321008341920575,0.7456778705044175,0.7594302652145865,0.07541120956910363,0.5531550448700413
MonthlyCharges,0.5685218276233629,0.5024268939441444,0.0,1.0,0.5177371803918769
Tenure,0.5532091264280887,0.6594169342839409,0.14612265382141584,0.6778006688731505,0.5091373458516489
MonthlyCh_TotalCh_Ratio_category,0.5428546738544028,0.7731596487174489,0.4833285527175883,0.13750339117235627,0.48421156661544906
PaperlessBilling_Yes,0.21170832184591773,0.4948613020350135,0.96262976648161,0.11834689077205918,0.4468865702836501
InternetService_No,0.4719565906042753,0.6047330692006353,0.6481837373336486,0.03575070783324472,0.440156026242951
Partner_Yes,0.23645693276434443,0.29478922471920616,0.9994080285045671,0.10617225818880308,0.4092066110442302
TotalCharges,0.18174111301789628,0.36889515879849705,0.023106186390372888,0.8991210710814685,0.3682158823220587
Dependents_Yes,0.14206481801827686,0.39538704260814966,0.8508331442098777,0.08274230517337222,0.36775682750241906
OnlineSecurity_Yes,0.15210949686928155,0.3693105356779347,0.8471160429755474,0.09787373090235213,0.36660245160627897
InternetService_DSL,0.1662484078402319,0.3375765846815665,0.8986797688740698,0.025614815974282466,0.3570298943425376
TechSupport_Yes,0.11887861781492198,0.34231993887744544,0.8547476370381119,0.08220208772722049,0.34953707036442494
StreamingTV_Yes,0.051093136490697015,0.25118981120070427,0.9658845932719492,0.07351105810185321,0.33541964976630095
StreamingMovies_Yes,0.026922355336839433,0.25164600337260745,0.9686533610493416,0.07811422306295393,0.3313339857054356
MultipleLines_Yes,0.0,0.21172027850152336,0.9892493748062338,0.08952540560865926,0.3226237647291041
OnlineBackup_Yes,0.07942059886766792,0.10114864324563375,0.9307535651184997,0.09644690498444028,0.3019424280540604
DeviceProtection_Yes,0.10889349452651878,0.058953826959490425,0.9304175318484862,0.08456158504282174,0.29570660959432926
Gender_Male,0.02866912388873444,0.0,1.0,0.1265983787834804,0.2888168756680537
PaymentMethod_Mailed check,0.15145243545696518,0.3047836282049083,0.651202954589939,0.039349272232117045,0.28669707262098243
PaymentMethod_Credit card (automatic),0.13203300389938308,0.26973287635173315,0.7008879028232972,0.03298002000880406,0.28390845077080434
Contract_One year,0.01679032573811822,0.3919218812005964,0.6949299699291138,0.025199038532697275,0.2822103038501314
SeniorCitizen,0.09925944088395547,0.3996347579946825,0.5317001319579059,0.08859848547636143,0.2797982040782263
PaymentMethod_Bank transfer (automatic),0.049047170718962495,0.23359750087362507,0.7054043282059256,0.03619294416571369,0.2560604859910567
PhoneService_Yes,0.08144875943296516,0.021029864774539567,0.3242255068758462,0.0,0.10667603277083773
